address,token,caller,entry_fdv,old_ath,new_ath,old_mult,new_mult,mult_diff
7ynBFEr8Q5KoY7CoSnWuE1Uz4513WLaMTeWdUNv1pump,JUSTICE FOR CELESTE HERNA..,melon,127000.0,127000.0,971000.0,1.0,7.645669291338582,6.645669291338582
DrZ26cKJDksVRWib3DVVsjo9eeXccc7hKhDJviiYEEZY,YZY,melon,425000000.0,425000000.0,3100000000.0,1.0,7.294117647058823,6.294117647058823
CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,Goatseus Maximus,Cooker,75600000.0,82400000.0,556000000.0,1.08994708994709,7.354497354497354,6.264550264550264
HHyqD6kLviJzTHxrNzgzjXLr2WLprbJBbzwziybKpump,RIP ETH _/\_,Cooker,1300000.0,1300000.0,8900000.0,1.0,6.846153846153846,5.846153846153846
CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,Goatseus Maximus,Cooker,83800000.0,83800000.0,556000000.0,1.0,6.634844868735083,5.634844868735083
FeR8VBqNRSUD5NtXAj2n3j1dAHkZHfyDktKuLXD4pump,jelly-my-jelly,atomic,41400000.0,41400000.0,256000000.0,1.0,6.183574879227053,5.183574879227053
CPLTbYbtDMKZtHBaPqdDmHjxNwESCEB14gm6VuoDpump,DraperTV,melon,3400000.0,3400000.0,20400000.0,1.0,6.0,5.0
GcH2fy7rKBSucKYwv4Af8SMxdrvqa7deT1zEyMFPpump,Bakkt Holdings Inc,Cooker,3100000.0,3700000.0,18600000.0,1.1935483870967742,6.0,4.806451612903226
CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,Goatseus Maximus,Cooker,96900000.0,96900000.0,556000000.0,1.0,5.737874097007224,4.737874097007224
Gka1TQEevBbVw4W9K15ER96ZzKByMTb6TBMQzWFEpump,:pill:Click to learn more Never Give Up,beep,500000.0,500000.0,2800000.0,1.0,5.6,4.6
6WNva7iLjTvxSfXPSmbjceW5Yc41LUH4SJNqKom5pump,BITCOIN CAT,shawns,2000000.0,2000000.0,11100000.0,1.0,5.55,4.55
xba3aaf468f793d9b42fd3328e24f1de9,LICK,Cooker,4700000.0,4700000.0,24500000.0,1.0,5.212765957446808,4.212765957446808
CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,Official Mascot of the Ho..,Cooker,50800000.0,52500000.0,257000000.0,1.0334645669291338,5.059055118110236,4.025590551181102
ALxGQbr4rzV6UqEvHbeHUwBKuoguh5nWsMb5nmzRreoH,Collector Crypt,beep,148000.0,148000.0,730000.0,1.0,4.9324324324324325,3.9324324324324325
4ZFHpmXteZs9cGao87L3qkJzRBxeziesgphhpLvLpump,CreatorCoin,melon,549000.0,549000.0,2400000.0,1.0,4.371584699453552,3.3715846994535523
GcWVDkoaBWZYW7bBgqCHDiqAmfnwwPxvbusA3s77pump,divinely protected,Cooker,723000.0,723000.0,2800000.0,1.0,3.872752420470263,2.872752420470263
DPx7RHVNKGarvTwsbuE81c3cnNoP5qSqBNP5iZ7w5777,Magikarp,Cooker,4300000.0,4300000.0,16399999.999999998,1.0,3.8139534883720927,2.8139534883720927
DAfKg6exaeMMUQeqwRq3UP5KYPJjFNyVuVzFfr4kpump,PickleVault,ton the neko,1300000.0,1300000.0,4900000.0,1.0,3.769230769230769,2.769230769230769
BCXRYfuAaecpeEVE2UA8mMSnvS3kWS2aJEw4KqcFAST,RACER,beep,504000.0,504000.0,1800000.0,1.0,3.5714285714285716,2.5714285714285716
EebvSxfGbjyHMJ2bu1jhtNidbhVbQJtcg9y561Kipump,Charizard Capital,Cooker,1700000.0,1700000.0,6000000.0,1.0,3.5294117647058822,2.5294117647058822
4zdAbkyoYoT2F8ZSt6va4WZrmAwgFCfQsTEUo8zNpump,Dead Internet Theory,Cooker,567900.0,587600.0,1900000.0,1.0346892058460997,3.3456594470857546,2.310970241239655
CxiR3c9AGqMtE7bg82sLnzpLinXN3kXfcoYeYtGApFoG,FogSwap,Cooker,3800000.0,3800000.0,12400000.0,1.0,3.263157894736842,2.263157894736842
